date,power_price_eur_mwh,gas_price_eur_mwh,carbon_price_eur_t,fuel_cost_eur_mwh,carbon_cost_eur_mwh,css
2023-12-13,93.04,35.8120002746582,68.88,71.6240005493164,13.776,7.6399994506836
2023-12-14,107.12,34.849998474121094,66.73,69.69999694824219,13.346000000000002,24.074003051757813
2023-12-15,93.24,33.18899917602539,67.57,66.37799835205078,13.514,13.348001647949214
2023-12-18,77.97,35.52199935913086,69.61,71.04399871826172,13.922,-6.9959987182617205
2023-12-19,76.29,32.56800079345703,69.76,65.13600158691406,13.952000000000002,-2.798001586914058
2023-12-20,62,33.520999908447266,73.2,67.04199981689453,14.64,-19.681999816894532
2023-12-21,25.28,34.202999114990234,75.88,68.40599822998047,15.176,-58.30199822998047
2023-12-22,22.66,34.17399978637695,76.94,68.3479995727539,15.388,-61.07599957275391
2023-12-27,60.8,35.51300048828125,77.74,71.0260009765625,15.548,-25.774000976562505
2023-12-28,16.67,33.10499954223633,77.94,66.20999908447266,15.588000000000001,-65.12799908447266
2023-12-29,6.36,32.349998474121094,77.98,64.69999694824219,15.596000000000002,-73.93599694824219
2024-01-02,53.07,30.57200050354004,74.09,61.14400100708008,14.818000000000001,-22.89200100708008
2024-01-03,45.22,32.79499816894531,75.42,65.589996337890625,15.084000000000001,-35.45399633789063
2024-01-04,85.41,33.40999984741211,73.78,66.81999969482422,14.756,3.8340003051757776
2024-01-05,91.37,34.55099868774414,73.97,69.10199737548828,14.794,7.474002624511723
2024-01-08,102.23,31.579999923706055,69.96,63.15999984741211,13.991999999999999,25.078000152587897
2024-01-09,109.39,30.641000747680664,69.9,61.28200149536133,13.980000000000002,34.12799850463867
2024-01-10,111.84,30.941999435424805,67.72,61.88399887084961,13.544,36.4120011291504
2024-01-11,109.65,30.816999435424805,65.96,61.63399887084961,13.192,34.824001129150396
2024-01-12,106.04,31.990999221801758,63.8,63.981998443603516,12.76,29.298001556396493
2024-01-16,101.14,29.6560001373291,65.49,59.3120002746582,13.097999999999999,28.7299997253418
2024-01-17,99.61,27.70800018310547,63.31,55.41600036621094,12.662,31.531999633789063
2024-01-18,92.74,27.89299964904785,63.28,55.7859992980957,12.656,24.298000701904293
2024-01-19,78.51,28.429000854492188,63.42,56.858001708984375,12.684000000000001,8.967998291015629
2024-01-22,49.84,27.263999938964844,62.41,54.52799987792969,12.482,-17.169999877929683
